|           energy|                      jnu|
|           double|                   double|
|         Rydbergs|log10(erg/s/cm^2/Hz/ster)|
 0.000788976745351            -19.6588708689 
  0.00082767315248            -19.6671370623 
 0.000867874419886            -19.6753762236 
  0.00091126814088              -19.68365344 
 0.000955608369212            -19.6918257307 
  0.00100260550212            -19.7001012271 
  0.00105178686621            -19.7082614771 
  0.00110349738542            -19.7164749923 
  0.00115775395868            -19.7246852119 
  0.00121453837249            -19.7328685523 
  0.00127414449228            -19.7409910551 
   0.0013367583114            -19.7492384009 
  0.00140238248827            -19.7573363675 
  0.00147121107666            -19.7655259711 
  0.00154347584837            -19.7736696585 
  0.00161945644372            -19.7818169308 
  0.00169885932304            -19.7899088999 
  0.00178225726751            -19.7981209685 
  0.00187003517521            -19.8063646225 
  0.00196182592224            -19.8146038181 
  0.00205796779783            -19.8228707481 
  0.00215940317744            -19.8312981003 
  0.00226514576406            -19.8397554033 
  0.00237680787919            -19.8483806774 
  0.00249320968777            -19.8571423065 
   0.0026155801977            -19.8662297157 
  0.00274395706378            -19.8755113459 
  0.00287920423659            -19.8849956807 
  0.00302044461677            -19.8950023751 
  0.00316852622003            -19.9053612432 
  0.00332458278322            -19.9163434821 
  0.00348744026361            -19.9280228827 
  0.00365824223557            -19.9402904863 
  0.00383853471306            -19.9534475952 
   0.0040268145863            -19.9673826985 
   0.0042247016267            -19.9820720028 
   0.0044322380393             -19.997525329 
  0.00464932724939            -20.0135488771 
  0.00487830910535            -20.0298195567 
  0.00511948393753            -20.0464020007 
  0.00536987708238            -20.0631231801 
  0.00563206514759            -20.0798001769 
  0.00590965071907             -20.095860794 
  0.00619910299918            -20.1113759506 
  0.00650441214047            -20.1262631172 
  0.00682597858337            -20.1403838723 
  0.00715843001477            -20.1532864012 
  0.00751251558846            -20.1652679486 
  0.00788294239516            -20.1757263222 
  0.00826922087913            -20.1846230216 
  0.00867048659258            -20.1916893652 
  0.00909449242395            -20.1975392328 
  0.00954607312885            -20.2018064666 
   0.0100150361675            -20.2045288849 
   0.0105069542359            -20.2059091339 
   0.0110229604558            -20.2056165982 
   0.0115643165086             -20.203970979 
   0.0121324476219            -20.2010723843 
   0.0127272086715            -20.1966344883 
   0.0133519141521            -20.1911525786 
   0.0140087339105            -20.1845269505 
   0.0146955029976            -20.1770273117 
   0.0154190886782            -20.1684082571 
   0.0161744433951            -20.1588916138 
    0.016969611562            -20.1488705553 
   0.0178051610176            -20.1381853246 
   0.0186773548039            -20.1267674121 
     0.01959716432            -20.1150563135 
   0.0205564660699            -20.1030829796 
   0.0215684767072            -20.0914309086 
   0.0226289580551            -20.0796718839 
   0.0237371227111            -20.0680979541 
   0.0249048412375            -20.0565990343 
   0.0261258067913            -20.0451771459 
    0.027406560628            -20.0342620042 
   0.0287557002487            -20.0235581141 
   0.0301644535214            -20.0131667324 
   0.0316522452546            -20.0033092179 
   0.0332094803528            -19.9936704902 
   0.0348344090551            -19.9846228079 
   0.0365530742431            -19.9765445493 
   0.0383369011729            -19.9700887376 
   0.0402325890013            -19.9656643993 
    0.042207880541            -19.9626023197 
    0.044279307137            -19.9606445651 
   0.0464458787401            -19.9596933144 
   0.0487309166246            -19.9598249899 
   0.0511373816431            -19.9610893876 
   0.0536355586157            -19.9634964464 
   0.0562511198074            -19.9667480841 
   0.0590199573109            -19.9700242513 
   0.0619488878912            -19.9727173585 
   0.0649513999202            -19.9750031008 
   0.0681576769544             -19.977488749 
   0.0715281115291            -19.9800396916 
   0.0750014930766            -19.9827958271 
   0.0786932764145            -19.9855695654 
   0.0825424040652            -19.9885017951 
   0.0866224468517            -19.9918945101 
    0.090854251334            -19.9954568705 
