#Incident Continuum, Enr	nFn 
1.05232e-08	6.837e-13
1.16299e-08	9.229e-13
1.28531e-08	1.246e-12
1.42048e-08	1.681e-12
1.56987e-08	2.270e-12
1.73497e-08	3.064e-12
1.91744e-08	4.135e-12
2.11910e-08	5.582e-12
2.34196e-08	7.534e-12
2.58826e-08	1.017e-11
2.86047e-08	1.373e-11
3.16130e-08	1.853e-11
3.49378e-08	2.501e-11
3.86122e-08	3.376e-11
4.26730e-08	4.556e-11
4.71609e-08	6.150e-11
5.21208e-08	8.301e-11
5.76023e-08	1.120e-10
6.36603e-08	1.512e-10
7.03554e-08	2.041e-10
7.77547e-08	2.755e-10
8.59321e-08	3.718e-10
9.49695e-08	5.017e-10
1.04957e-07	6.772e-10
1.15996e-07	9.139e-10
1.28195e-07	1.233e-09
1.41677e-07	1.664e-09
1.56577e-07	2.246e-09
1.73044e-07	3.031e-09
1.91243e-07	4.090e-09
2.11356e-07	5.519e-09
2.33585e-07	7.446e-09
2.58151e-07	1.005e-08
2.85300e-07	1.355e-08
3.15305e-07	1.829e-08
3.48466e-07	2.467e-08
3.85113e-07	3.328e-08
4.25616e-07	4.489e-08
4.70377e-07	6.054e-08
5.19847e-07	8.164e-08
5.74519e-07	1.101e-07
6.34941e-07	1.484e-07
7.01717e-07	2.001e-07
7.75516e-07	2.698e-07
8.57077e-07	3.636e-07
9.47215e-07	4.900e-07
1.04683e-06	6.601e-07
1.15693e-06	8.893e-07
1.27860e-06	1.198e-06
1.41307e-06	1.613e-06
1.56168e-06	2.171e-06
1.72593e-06	2.921e-06
1.90744e-06	3.930e-06
2.10805e-06	5.284e-06
2.32975e-06	7.103e-06
2.57477e-06	9.544e-06
2.84555e-06	1.282e-05
3.14482e-06	1.720e-05
3.47556e-06	2.308e-05
3.84108e-06	3.093e-05
4.24504e-06	4.144e-05
4.69149e-06	5.546e-05
5.18489e-06	7.415e-05
5.73019e-06	9.905e-05
6.33283e-06	1.322e-04
6.99885e-06	1.761e-04
7.73492e-06	2.343e-04
8.54839e-06	3.113e-04
9.44742e-06	4.129e-04
1.04410e-05	5.465e-04
1.15391e-05	7.218e-04
1.27526e-05	9.509e-04
1.40938e-05	1.249e-03
1.55761e-05	1.636e-03
1.72142e-05	2.136e-03
1.90246e-05	2.773e-03
2.00501e-05	3.153e-03
2.01505e-05	3.234e-03
2.02515e-05	3.260e-03
2.03530e-05	3.298e-03
2.04550e-05	3.340e-03
2.05575e-05	3.383e-03
2.06605e-05	3.427e-03
2.07641e-05	3.471e-03
2.08682e-05	3.516e-03
2.09727e-05	3.561e-03
2.10778e-05	3.607e-03
2.11835e-05	3.653e-03
2.12896e-05	3.700e-03
2.13963e-05	3.748e-03
2.15036e-05	3.796e-03
2.16113e-05	3.845e-03
2.17196e-05	3.894e-03
2.18285e-05	3.944e-03
2.19379e-05	3.994e-03
2.20478e-05	4.045e-03
2.21583e-05	4.096e-03
2.22694e-05	4.149e-03
2.23810e-05	4.201e-03
2.24931e-05	4.255e-03
2.26059e-05	4.309e-03
2.27191e-05	4.363e-03
2.28330e-05	4.419e-03
2.29474e-05	4.475e-03
2.30624e-05	4.531e-03
2.31780e-05	4.588e-03
2.32942e-05	4.646e-03
2.34109e-05	4.705e-03
2.35282e-05	4.764e-03
2.36461e-05	4.824e-03
2.37647e-05	4.884e-03
2.38838e-05	4.946e-03
2.40034e-05	5.008e-03
2.41237e-05	5.070e-03
2.42446e-05	5.134e-03
2.43661e-05	5.198e-03
2.44883e-05	5.263e-03
2.46110e-05	5.328e-03
2.47343e-05	5.394e-03
2.48583e-05	5.461e-03
2.49829e-05	5.529e-03
2.51081e-05	5.598e-03
2.52339e-05	5.667e-03
2.53603e-05	5.737e-03
2.54874e-05	5.808e-03
2.56152e-05	5.879e-03
2.57435e-05	5.952e-03
2.58726e-05	6.025e-03
2.60022e-05	6.099e-03
2.61325e-05	6.174e-03
2.62635e-05	6.250e-03
2.63951e-05	6.326e-03
2.65274e-05	6.403e-03
2.66603e-05	6.481e-03
2.67940e-05	6.560e-03
2.69282e-05	6.640e-03
2.70632e-05	6.721e-03
2.71988e-05	6.802e-03
2.73351e-05	6.885e-03
2.74721e-05	6.968e-03
2.76098e-05	7.052e-03
2.77482e-05	7.138e-03
2.78872e-05	7.224e-03
2.80270e-05	7.310e-03
2.81674e-05	7.398e-03
2.83086e-05	7.487e-03
