# name : parameter name
# ml   : maximum likelihood value
# j1l  : 1 sigma lower error (joint with all other parameters) 
# j1u  : 1 sigma upper error (joint)
# j2l  : 2 sigma lower error (joint) 
# j2u  : 2 sigma upper error (joint) 
# m1l  : 1 sigma lower error (marginalised over all other parameters)
# m1u  : 1 sigma upper error (marginalised)
# m2l  : 2 sigma lower error (marginalised) 
# m2u  : 2 sigma upper error (marginalised) 
name ml             j1l           j1u           j2l           j2u           m1l            m1u            m2l           m2u
z1   0.5571716      8.2498518e-06 8.4320578e-06 9.2043727e-06 8.4320578e-06 3.3328989e-06  2.9235276e-06  6.1819434e-06 5.8875732e-06
N1   15.980229      0.29872038    1.1556862     0.34467091    1.2234124     0.051283581    0.44173713     0.25458389    0.78321895
b1   7.1385398      2.0665713     0.97629939    2.3692181     1.216011      1.0740454      0.099691753    1.6881329     0.62992256
z2   0.55731413     1.4711123e-05 6.2441606e-06 1.6015857e-05 6.5568803e-06 6.9815339e-06  5.6234853e-07  1.0778247e-05 3.907031e-06
N2   15.401429      0.4655459     1.6973724     0.4655459     1.8778291     0.15744999     0.61836035     0.28957997    1.4460613
b2   4.4966749      2.8502073     2.0871731     3.0151687     2.4300133     0.88646246     0.50331688     2.491544      1.4914935
N3   16.86705       0.43201487    0.89536657    0.50754129    0.96333042    0.093238909    0.46774437     0.31209545    0.72591071
N4   16.467646      0.71743238    1.1972069     0.75832759    1.2848868     0.45228955     0.35720928     0.66221697    0.96223281
N5   16.184167      0.33703405    0.75376051    0.35941224    0.97117718    0.18668953     0.19701228     0.24673393    0.54682153
N6   15.640367      0.37178566    1.8568014     0.39219389    1.9229928     0.2410867      0.25817481     0.31882251    1.6768936
N7   15.686983      0.13309268    0.56594605    0.13773081    0.75039877    0.030926233    0.19910952     0.11180025    0.39515113
N8   15.398693      0.19346655    1.967861      0.23994839    2.1047935     0.10942594     0.24660601     0.18772311    1.7104885
dw0  -0.0080986595  0.011053981   0.024193104   0.011475211   0.024193104   0.0016185407   0.0094967615   0.0077452821  0.014547372
dw1  0.0048864956   0.01468269    0.014979032   0.015078062   0.014979032   0.0046854342   0.0061777295   0.010001426   0.011850905
dw2  0.008831465    0.023976464   0.010399158   0.024079263   0.010399158   0.011403869    -0.00070414352 0.015709317   0.0056052212
dw3  8.5653763e-05  0.012013833   0.019384022   0.015057732   0.019384022   0.00080494394  0.010847104    0.0082687417  0.015108064
dw4  0.0018328972   0.020455582   0.016452907   0.020455582   0.016452907   0.0086873977   0.0027211749   0.014079586   0.0086943616
dw5  0.0055711975   0.025292068   0.012463613   0.025292068   0.012463613   0.010036204    0.00073200462  0.014305936   0.0095041754
dw6  -0.0018750861  0.012370424   0.021541938   0.012370424   0.021855864   -0.00025776145 0.013027762    0.0066689623  0.018645915
dw7  -0.013838481   0.0061278408  0.023087314   0.0061278408  0.025030841   0.0023651088   0.010105874    0.0061278408  0.016067584
dw8  0.006616451    0.019569918   0.011941404   0.021161547   0.011941404   0.0099797858   -0.00010394855 0.014426383   0.00654094
dw9  -0.002092372   0.01348831    0.016797071   0.01348831    0.017814689   0.0016086183   0.0078437025   0.005717212   0.012602515
dw10 -0.0075048019  0.012337926   0.016214872   0.012337926   0.016214872   0.003919881    0.0052940372   0.010126895   0.0099202544
dw11 0.0012956988   0.019498004   0.018491786   0.019498004   0.018491786   0.005314126    0.005609675    0.011434249   0.012573431
dw12 0.0011019348   0.0190484     0.017324205   0.019661183   0.01786746    0.0059542281   0.0053071583   0.012364956   0.010961838
dw13 -0.0049929857  0.014971695   0.018374961   0.014971695   0.018374961   0.0020407294   0.0095025998   0.0076768802  0.014640429
dw14 0.0036993406   0.017845231   0.014084013   0.021407097   0.014084013   0.0062493692   0.0047417963   0.01195912    0.010565325
dw15 0.0027903712   0.015872857   0.015606829   0.01629357    0.015606829   0.0053489479   0.0047864058   0.011068583   0.0093190628
dw16 -0.0064372942  0.012469932   0.011679682   0.012469932   0.015300377   0.0034054944   0.005523938    0.0077134023  0.010072814
dw17 -0.012654335   0.0071052768  0.020004288   0.0072579478  0.023022568   -0.0012734072  0.012102232    0.0047555174  0.016472552
dw18 -0.0061487886  0.013441972   0.016203981   0.013734797   0.016434368   0.0050900254   0.004923923    0.0092099583  0.011849745
dw19 -0.0053881698  0.014609598   0.017721985   0.014609598   0.017721985   0.0063975691   0.0036174544   0.012009427   0.0094537172
dw20 -0.0019671619  0.0098908822  0.021248946   0.0098908822  0.02137706    -0.0023189357  0.012758923    0.0036935032  0.016344841
dw21 0.0014757753   0.020143686   0.014753616   0.020143686   0.015719989   0.0075350083   0.0028349879   0.011948352   0.0081859593
dw22 -0.0093817941  0.010457444   0.01921656    0.010457444   0.022563653   0.0019124587   0.0088265401   0.0075787561  0.015191764
dw23 -0.010982922   0.0086917857  0.023290726   0.0086917857  0.023384379   0.001233201    0.0091255572   0.0062903782  0.014869553
dw24 -0.0084093411  0.0092411164  0.026783147   0.010627726   0.026783147   0.00029492256  0.01027607     0.0059868345  0.01482861
dw25 8.2026311e-05  0.019220871   0.018816728   0.019220871   0.019201524   0.003816067    0.0068486193   0.0098043307  0.012349661
dw26 0.0054237618   0.01910019    0.013834802   0.019532035   0.013834802   0.0089567686   0.0041013764   0.014764234   0.010026675
dw27 -0.0080287744  0.010330064   0.021389532   0.010330064   0.023184567   -0.00049824757 0.010931727    0.0030938968  0.018907024
dw28 -0.0033617457  0.01635117    0.022559154   0.01635117    0.022559154   0.0055946343   0.0081212864   0.012284453   0.014331412
dw29 0.00085092924  0.012648926   0.01748383    0.015318516   0.01748383    0.0019058574   0.00770885     0.0079961669  0.011363887
dw30 -0.0020796329  0.017744441   0.02059324    0.017744441   0.021741393   0.0043573186   0.0065057724   0.010443759   0.012221585
dw31 -0.0056326919  0.013121871   0.023428518   0.014293934   0.023428518   0.0040250098   0.0072545304   0.010592039   0.013800344
dw32 0.0070147249   0.019620735   0.012895093   0.019620735   0.01295312    0.0093282131   0.0025194316   0.015614546   0.0089957206
dw33 0.010094447    0.026595544   0.0098289948  0.029771747   0.0098289948  0.01042895     0.0024441015   0.016912      0.0079960518
dw34 -0.005784152   0.013924018   0.015569706   0.013951749   0.018649485   0.0036367432   0.0062033464   0.0085496989  0.011489352
dw35 0.0057160725   0.019207306   0.01422479    0.019207306   0.01422479    0.0081473205   0.0025869919   0.012654724   0.0087894587
dw36 -0.0041904816  0.01390727    0.022809635   0.015316374   0.023861895   0.00064398812  0.011361394    0.0090117763  0.015749139
dw37 0.0029129165   0.019736161   0.011271026   0.019736161   0.013160592   0.0089146655   0.0015902885   0.015106788   0.0067370828
dw38 -0.003921145   0.015935682   0.019511874   0.015935682   0.019511874   0.0045517313   0.0076833269   0.00925428    0.014020056
